tahun,nama_kabkota,jenis_sekolah,kelas,jumlah
2011,Kepulauan Seribu,Negeri,I,0
2011,Kepulauan Seribu,Negeri,II,0
2011,Kepulauan Seribu,Negeri,III,0
2011,Kepulauan Seribu,Swasta,I,0
2011,Kepulauan Seribu,Swasta,II,0
2011,Kepulauan Seribu,Swasta,III,0
2011,Jakarta Selatan,Negeri,I,41
2011,Jakarta Selatan,Negeri,II,8
2011,Jakarta Selatan,Negeri,III,9
2011,Jakarta Selatan,Swasta,I,299
2011,Jakarta Selatan,Swasta,II,266
2011,Jakarta Selatan,Swasta,III,123
2011,Jakarta Timur,Negeri,I,7
2011,Jakarta Timur,Negeri,II,9
2011,Jakarta Timur,Negeri,III,0
2011,Jakarta Timur,Swasta,I,403
2011,Jakarta Timur,Swasta,II,430
2011,Jakarta Timur,Swasta,III,212
2011,Jakarta Pusat,Negeri,I,63
2011,Jakarta Pusat,Negeri,II,29
2011,Jakarta Pusat,Negeri,III,4
2011,Jakarta Pusat,Swasta,I,50
2011,Jakarta Pusat,Swasta,II,49
2011,Jakarta Pusat,Swasta,III,19
2011,Jakarta Barat,Negeri,I,29
2011,Jakarta Barat,Negeri,II,11
2011,Jakarta Barat,Negeri,III,12
2011,Jakarta Barat,Swasta,I,138
2011,Jakarta Barat,Swasta,II,188
2011,Jakarta Barat,Swasta,III,55
2011,Jakarta Utara,Negeri,I,19
2011,Jakarta Utara,Negeri,II,7
2011,Jakarta Utara,Negeri,III,7
2011,Jakarta Utara,Swasta,I,166
2011,Jakarta Utara,Swasta,II,78
2011,Jakarta Utara,Swasta,III,30
